Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Euphoric,Relaxed,Sleepy,,,width:100%,width:100%,width:100%,,,,,,Dyw,Insomnia,Stress,,,,width:100%,width:100%,,,,Daywalker,,,,,,,,,,,1,5.0,Hybrid
,,,,,,,,,,,,,Ded,,,,,,,,,,,DeDutch,,,,,,,,,,,,,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Focused,width:100%,width:82%,width:77%,width:57%,width:44%,1. Earthy,2. Pungent,3. Pine,Dh,Stress,Depression,Pain,Insomnia,Lack of Appetite,width:100%,width:83%,width:67%,width:51%,width:44%,Deadhead OG,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:50%,width:24%,width:21%,width:18%,505,4.4,Hybrid
Uplifted,Relaxed,Sleepy,Focused,Happy,width:100%,width:47%,width:41%,width:35%,width:29%,1. Chestnut,2. Violet,3. Woody,Dlt,Inflammation,Pain,Depression,Muscle Spasms,Stress,width:100%,width:100%,width:84%,width:10%,width:10%,Deadlights,Dry Mouth,Dry Eyes,Dizzy,Headache,,width:100%,width:40%,width:20%,width:20%,,9,4.4,Hybrid
Relaxed,Happy,Uplifted,Talkative,Focused,width:100%,width:95%,width:90%,width:90%,width:90%,1. Berry,2. Earthy,3. Lavender,Dwd,Stress,Muscle Spasms,Pain,,,width:100%,width:50%,width:50%,,,Deadwood,Dry Mouth,Dry Eyes,Headache,,,width:100%,width:50%,width:50%,,,9,4.1,Indica
Relaxed,Sleepy,Euphoric,Happy,Uplifted,width:100%,width:71%,width:63%,width:62%,width:39%,1. Earthy,2. Sweet,3. Pungent,Dbb,Pain,Stress,Insomnia,Depression,Lack of Appetite,width:100%,width:98%,width:74%,width:71%,width:51%,Death Bubba,Dry Mouth,Dizzy,Dry Eyes,Paranoid,Headache,width:100%,width:22%,width:19%,width:14%,width:6%,321,4.7,Indica
Energetic,Euphoric,Happy,,,width:100%,width:100%,width:100%,,,1. Butter,2. Woody,,Dco,Depression,Lack of Appetite,Stress,,,width:100%,width:100%,width:100%,,,Death By Cake OG,Dizzy,Dry Eyes,Dry Mouth,Paranoid,,width:100%,width:100%,width:100%,width:100%,,3,5.0,Hybrid
Relaxed,Euphoric,Happy,Sleepy,Uplifted,width:100%,width:80%,width:68%,width:56%,width:54%,1. Earthy,2. Diesel,3. Pungent,Ds,Stress,Pain,Insomnia,Depression,Headaches,width:100%,width:95%,width:80%,width:60%,width:41%,Death Star,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:53%,width:17%,width:14%,width:12%,1273,4.6,Indica
Euphoric,Talkative,Creative,Relaxed,Giggly,width:100%,width:84%,width:78%,width:71%,width:68%,1. Earthy,2. Diesel,3. Woody,Dth,Pain,Stress,Depression,Insomnia,Nausea,width:100%,width:96%,width:82%,width:71%,width:35%,Death Star OG,Dizzy,Dry Mouth,Dry Eyes,Paranoid,Anxious,width:100%,width:46%,width:29%,width:18%,width:2%,195,4.5,Indica
,,,,,,,,,,,,,Deh,,,,,,,,,,,Dedoverde Haze,,,,,,,,,,,1,4.0,Hybrid
Happy,Energetic,Creative,Euphoric,Focused,width:100%,width:100%,width:100%,width:75%,width:75%,1. Berry,2. Diesel,3. Nutty,Dpb,,,,,,,,,,,Deep Breath,Dry Mouth,,,,,width:100%,,,,,2,5.0,Hybrid
Euphoric,Happy,Creative,Hungry,Focused,width:100%,width:70%,width:69%,width:69%,width:36%,1. Cheese,2. Pungent,3. Skunk,Dec,Lack of Appetite,Nausea,Cramps,Depression,Fatigue,width:100%,width:100%,width:50%,width:50%,width:50%,Deep Cheese,Dry Mouth,Anxious,Dry Eyes,Paranoid,,width:100%,width:5%,width:2%,width:2%,,15,4.2,Hybrid
Relaxed,Happy,Euphoric,Sleepy,Creative,width:100%,width:96%,width:93%,width:51%,width:48%,1. Earthy,2. Lavender,3. Sweet,Dee,Insomnia,Stress,Pain,Headaches,Muscle Spasms,width:100%,width:88%,width:88%,width:82%,width:82%,Deep Chunk,Dry Mouth,,,,,width:100%,,,,,14,4.6,Indica
Relaxed,Euphoric,Sleepy,Hungry,Uplifted,width:100%,width:94%,width:93%,width:86%,width:45%,1. Mint,2. Grape,3. Sweet,Dep,Stress,Pain,Insomnia,Depression,Lack of Appetite,width:100%,width:98%,width:52%,width:50%,width:46%,Deep Purple,Dry Mouth,Dry Eyes,Dizzy,Headache,Anxious,width:100%,width:83%,width:29%,width:20%,width:8%,84,3.9,Indica
Sleepy,Relaxed,Happy,Euphoric,Hungry,width:100%,width:89%,width:44%,width:33%,width:10%,1. Earthy,2. Pine,3. Woody,Dsp,Insomnia,Pain,Muscle Spasms,Inflammation,Fatigue,width:100%,width:44%,width:28%,width:26%,width:25%,Deep Sleep,Dry Eyes,Dry Mouth,Dizzy,Anxious,Headache,width:100%,width:54%,width:8%,width:4%,width:4%,66,4.5,Indica
Energetic,Uplifted,Happy,Creative,Euphoric,width:100%,width:95%,width:80%,width:76%,width:60%,1. Lemon,2. Citrus,3. Mango,Del,Depression,Stress,Fatigue,Lack of Appetite,Pain,width:100%,width:85%,width:56%,width:35%,width:17%,DelaHaze,Dry Mouth,Anxious,Dry Eyes,Dizzy,Headache,width:100%,width:38%,width:10%,width:6%,width:3%,94,4.6,Sativa
Relaxed,Sleepy,Uplifted,Hungry,Focused,width:100%,width:97%,width:95%,width:93%,width:86%,1. Earthy,2. Citrus,3. Flowery,Dvm,Stress,Depression,Pain,Headaches,Inflammation,width:100%,width:94%,width:94%,width:2%,width:2%,Denver Maple,Dry Eyes,Dry Mouth,Headache,,,width:100%,width:100%,width:25%,,,16,4.4,Indica
Euphoric,Energetic,,,,width:100%,width:14%,,,,,,,Dbx,Fatigue,Headaches,Inflammation,,,width:100%,width:100%,width:100%,,,Des*Tar Bx,Dry Mouth,,,,,width:100%,,,,,1,4.0,Hybrid
Happy,Talkative,Uplifted,Giggly,Relaxed,width:100%,width:100%,width:100%,width:50%,width:50%,1. Chemical,2. Citrus,3. Diesel,Dds,Depression,Stress,,,,width:100%,width:100%,,,,Desert Diesel,,,,,,,,,,,2,4.0,Hybrid
Hungry,Creative,Energetic,Euphoric,Giggly,width:100%,width:50%,width:50%,width:50%,width:50%,,,,Des,Depression,Nausea,Pain,Spasticity,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Desert Star,Dry Mouth,,,,,width:100%,,,,,4,4.8,Hybrid
,,,,,,,,,,,,,Dso,,,,,,,,,,,Designer OG,,,,,,,,,,,1,5.0,Hybrid
Energetic,Happy,Uplifted,Euphoric,Giggly,width:100%,width:80%,width:80%,width:80%,width:80%,1. Lavender,2. Ammonia,3. Blue Cheese,Dyr,Depression,Stress,Cramps,Fatigue,Insomnia,width:100%,width:100%,width:66%,width:66%,width:66%,Destroyer,,,,,,,,,,,9,4.9,Sativa
Sleepy,Relaxed,Focused,Tingly,Hungry,width:100%,width:84%,width:57%,width:55%,width:55%,1. Citrus,2. Spicy/Herbal,3. Skunk,Df,Insomnia,Lack of Appetite,Pain,Stress,Depression,width:100%,width:87%,width:21%,width:21%,width:16%,Devil Fruit,Dry Mouth,Anxious,Dry Eyes,Dizzy,Paranoid,width:100%,width:52%,width:50%,width:47%,width:2%,22,4.4,Indica
Euphoric,Happy,Focused,Energetic,Creative,width:100%,width:100%,width:65%,width:61%,width:56%,1. Spicy/Herbal,2. Sweet,3. Tropical,Dtt,Stress,Depression,Cramps,Pain,Headaches,width:100%,width:92%,width:84%,width:84%,width:23%,Devil's Tit,Anxious,Dry Eyes,Dry Mouth,Paranoid,,width:100%,width:33%,width:33%,width:33%,,15,4.3,Sativa
,,,,,,,,,,,,,Dbl,,,,,,,,,,,Diabla,,,,,,,,,,,,,Hybrid
Relaxed,Sleepy,Happy,Euphoric,Uplifted,width:100%,width:79%,width:71%,width:51%,width:43%,1. Spicy/Herbal,2. Earthy,3. Grapefruit,Dia,Stress,Pain,Insomnia,Depression,Inflammation,width:100%,width:80%,width:76%,width:50%,width:36%,Diablo,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:58%,width:33%,width:14%,width:11%,302,4.2,Indica
Relaxed,Sleepy,Happy,Euphoric,Hungry,width:100%,width:99%,width:60%,width:59%,width:46%,1. Earthy,2. Citrus,3. Pine,Dg,Insomnia,Stress,Pain,Lack of Appetite,Depression,width:100%,width:98%,width:75%,width:61%,width:54%,Diamond OG,Dry Mouth,Dry Eyes,Dizzy,Headache,Paranoid,width:100%,width:69%,width:43%,width:32%,width:27%,374,4.5,Indica
Happy,Relaxed,,,,width:100%,width:100%,,,,,,,Dms,Stress,,,,,width:100%,,,,,Diamond Socks,,,,,,,,,,,3,4.3,Hybrid
Relaxed,Uplifted,Talkative,Happy,Focused,width:100%,width:93%,width:91%,width:13%,width:8%,1. Pungent,2. Apple,3. Sweet,Dvk,Stress,Fatigue,Depression,Eye Pressure,Cramps,width:100%,width:7%,width:4%,width:4%,width:2%,Diamond Valley Kush,Anxious,Dry Eyes,Dry Mouth,,,width:100%,width:100%,width:100%,,,8,5.0,Hybrid
Energetic,Happy,Uplifted,Euphoric,Talkative,width:100%,width:75%,width:75%,width:68%,width:68%,1. Diesel,2. Earthy,3. Pungent,Dgh,Stress,Fatigue,Headaches,Inflammation,Pain,width:100%,width:75%,width:75%,width:75%,width:75%,Diesel Dough,Dry Mouth,Paranoid,Anxious,Dry Eyes,,width:100%,width:100%,width:83%,width:83%,,13,4.5,Hybrid
Happy,Euphoric,Uplifted,Energetic,Creative,width:100%,width:100%,width:83%,width:66%,width:66%,1. Flowery,2. Honey,3. Skunk,Ddf,Stress,Pain,Depression,Headaches,Muscle Spasms,width:100%,width:37%,width:12%,width:12%,width:12%,Diesel Duff,Dry Mouth,Dizzy,Headache,Paranoid,Dry Eyes,width:100%,width:60%,width:60%,width:60%,width:40%,8,3.8,Hybrid
Happy,Uplifted,Focused,Hungry,Sleepy,width:100%,width:80%,width:20%,width:20%,width:20%,1. Earthy,2. Pungent,,Bcn,,,,,,,,,,,Diesel Glue,Dry Mouth,,,,,width:100%,,,,,3,4.3,Hybrid
Euphoric,Uplifted,Happy,Energetic,Hungry,width:100%,width:80%,width:76%,width:74%,width:70%,1. Diesel,2. Citrus,3. Tropical,Dst,Stress,Pain,Inflammation,Cramps,Depression,width:100%,width:44%,width:39%,width:31%,width:11%,Dieseltonic,Dry Mouth,Dry Eyes,Dizzy,,,width:100%,width:53%,width:41%,,,19,4.3,Hybrid
Relaxed,Happy,Uplifted,Sleepy,Tingly,width:100%,width:83%,width:74%,width:58%,width:50%,1. Earthy,2. Chemical,3. Sweet,Dig,Pain,Stress,Inflammation,Depression,Insomnia,width:100%,width:68%,width:56%,width:50%,width:37%,Digweed,Dry Mouth,Dizzy,Dry Eyes,Anxious,Paranoid,width:100%,width:75%,width:75%,width:12%,width:12%,21,4.0,Indica
Relaxed,Happy,Creative,Euphoric,Hungry,width:100%,width:98%,width:93%,width:87%,width:82%,1. Pine,2. Pungent,3. Skunk,Dnc,Stress,Lack of Appetite,Fatigue,Spasticity,Depression,width:100%,width:76%,width:64%,width:64%,width:47%,Dinachem,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,11,4.5,Hybrid
,,,,,,,,,,,,,Nap,,,,,,,,,,,Dirt Nap,,,,,,,,,,,1,4.0,Hybrid
Happy,Focused,Energetic,Uplifted,Relaxed,width:100%,width:89%,width:72%,width:71%,width:68%,1. Citrus,2. Sweet,3. Pine,Drt,Stress,Depression,Pain,Fatigue,Headaches,width:100%,width:90%,width:35%,width:20%,width:6%,Dirty Girl,Dry Mouth,Paranoid,Dizzy,Dry Eyes,Anxious,width:100%,width:98%,width:92%,width:40%,width:13%,168,4.5,Sativa
Relaxed,Uplifted,Happy,Creative,Focused,width:100%,width:96%,width:68%,width:66%,width:64%,1. Earthy,2. Woody,3. Flowery,Dob,Depression,Pain,Stress,Fatigue,Lack of Appetite,width:100%,width:100%,width:100%,width:50%,width:50%,Dirty Old Bastard,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,6,4.0,Indica
Uplifted,Energetic,Euphoric,Giggly,Happy,width:100%,width:75%,width:50%,width:50%,width:50%,1. Sweet,2. Earthy,3. Pungent,Dwi,Depression,Fatigue,Lack of Appetite,Stress,,width:100%,width:100%,width:100%,width:100%,,Dirty Widow,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,4,4.3,Hybrid
Uplifted,Happy,Creative,Euphoric,Energetic,width:100%,width:78%,width:74%,width:49%,width:45%,1. Berry,2. Sweet,3. Grape,Dis,Stress,Depression,Fatigue,Headaches,Pain,width:100%,width:26%,width:17%,width:17%,width:17%,Disney Blue,Dry Mouth,Dry Eyes,Paranoid,,,width:100%,width:23%,width:11%,,,11,4.5,Hybrid
Energetic,Relaxed,Uplifted,,,width:100%,width:100%,width:100%,,,1. Berry,2. Blueberry,3. Citrus,Div,Cramps,Depression,Eye Pressure,Fatigue,Insomnia,width:100%,width:100%,width:100%,width:100%,width:100%,Divina Obscura,,,,,,,,,,,,,Hybrid
Relaxed,Happy,Energetic,Euphoric,Talkative,width:100%,width:95%,width:10%,width:8%,width:8%,1. Earthy,2. Sweet,3. Pine,Dzy,Cramps,Headaches,Nausea,Stress,Depression,width:100%,width:100%,width:100%,width:100%,width:66%,Dizzy OG,Dizzy,Dry Mouth,Dry Eyes,Paranoid,,width:100%,width:9%,width:2%,width:2%,,15,4.5,Hybrid
Energetic,Uplifted,Happy,Euphoric,Talkative,width:100%,width:77%,width:66%,width:55%,width:55%,1. Earthy,2. Flowery,3. Sweet,Dja,Stress,Depression,Fatigue,Insomnia,Muscle Spasms,width:100%,width:66%,width:66%,width:66%,width:66%,Django,Dry Mouth,Headache,Dizzy,Dry Eyes,Anxious,width:100%,width:75%,width:50%,width:50%,width:25%,11,4.6,Sativa
Creative,Euphoric,Happy,Talkative,Uplifted,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Do,Depression,Lack of Appetite,Stress,,,width:100%,width:100%,width:100%,,,Do-Over OG,,,,,,,,,,,1,4.7,Hybrid
Relaxed,Happy,Euphoric,Sleepy,Uplifted,width:100%,width:66%,width:62%,width:56%,width:43%,1. Earthy,2. Sweet,3. Pungent,Dos,Stress,Pain,Insomnia,Depression,Lack of Appetite,width:100%,width:70%,width:70%,width:64%,width:47%,Do-Si-Dos,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:53%,width:37%,width:11%,width:11%,495,4.7,Indica
Happy,Relaxed,Uplifted,Energetic,Euphoric,width:100%,width:100%,width:100%,width:66%,width:33%,,,,Dhd,Depression,Muscle Spasms,Stress,Pain,Lack of Appetite,width:100%,width:100%,width:100%,width:66%,width:33%,Doc Holliday,Dry Mouth,,,,,width:100%,,,,,2,5.0,Hybrid
Uplifted,Relaxed,Aroused,Focused,Happy,width:100%,width:100%,width:88%,width:33%,width:33%,1. Citrus,2. Flowery,3. Strawberry,2Dr,Stress,Depression,Headaches,Nausea,Pain,width:100%,width:88%,width:33%,width:33%,width:33%,Doctor Doctor,Dry Eyes,Dry Mouth,,,,width:100%,width:14%,,,,6,5.0,Sativa
,,,,,,,,,,,,,Dcj,,,,,,,,,,,Doctor Jamaica,,,,,,,,,,,,,Hybrid
,,,,,,,,,,,,,Dfa,,,,,,,,,,,Dog Face,,,,,,,,,,,,,Hybrid
Happy,Energetic,Relaxed,Sleepy,Euphoric,width:100%,width:99%,width:95%,width:83%,width:18%,1. Earthy,2. Pungent,3. Pine,Dsh,Stress,Pain,Depression,Fatigue,Cramps,width:100%,width:95%,width:91%,width:78%,width:70%,Dog Shit,Dry Mouth,Dry Eyes,Paranoid,Anxious,Headache,width:100%,width:74%,width:16%,width:12%,width:12%,43,4.2,Hybrid
Relaxed,Happy,Euphoric,Focused,Uplifted,width:100%,width:81%,width:76%,width:53%,width:52%,1. Earthy,2. Woody,3. Pungent,Dwk,Stress,Depression,Pain,Insomnia,Headaches,width:100%,width:93%,width:67%,width:62%,width:40%,Dogwalker OG,Dry Mouth,Dry Eyes,Headache,Anxious,Dizzy,width:100%,width:97%,width:36%,width:23%,width:6%,245,4.7,Hybrid
,,,,,,,,,,,,,Dla,,,,,,,,,,,Dolato,,,,,,,,,,,1,5.0,Hybrid
Creative,Energetic,Hungry,Relaxed,Sleepy,width:100%,width:50%,width:50%,width:50%,width:50%,1. Flowery,2. Pungent,3. Sweet,$og,Fatigue,,,,,width:100%,,,,,Dolla Sign OG Kush,Anxious,Dry Eyes,Dry Mouth,,,width:100%,width:100%,width:100%,,,4,5.0,Indica
Sleepy,Happy,Tingly,Uplifted,Focused,width:100%,width:80%,width:60%,width:60%,width:40%,,,,Dm,Stress,Insomnia,Depression,Pain,Muscle Spasms,width:100%,width:60%,width:40%,width:40%,width:20%,Domino,Dry Eyes,Headache,Dry Mouth,,,width:100%,width:66%,width:33%,,,6,4.0,Indica
Relaxed,Happy,Uplifted,Creative,Energetic,width:100%,width:66%,width:66%,width:33%,width:33%,1. Berry,2. Blueberry,3. Diesel,Dca,Stress,Depression,Fatigue,Inflammation,Insomnia,width:100%,width:50%,width:50%,width:50%,width:50%,Don Carlos,,,,,,,,,,,4,4.8,Hybrid
Uplifted,Euphoric,Relaxed,Happy,Creative,width:100%,width:100%,width:100%,width:95%,width:90%,1. Citrus,2. Tropical,3. Butter,Dsl,Depression,Fatigue,Lack of Appetite,Stress,Headaches,width:100%,width:100%,width:95%,width:95%,width:5%,Don Shula,Dry Mouth,Dry Eyes,,,,width:100%,width:50%,,,,7,5.0,Hybrid
Euphoric,Giggly,Tingly,,,width:100%,width:100%,width:100%,,,,,,Dng,,,,,,,,,,,Don's Ghost,Anxious,Paranoid,,,,width:100%,width:100%,,,,2,4.0,Hybrid
Uplifted,Creative,Euphoric,Relaxed,Happy,width:100%,width:71%,width:62%,width:52%,width:46%,1. Citrus,2. Earthy,3. Woody,Dgl,Headaches,Depression,Stress,Fatigue,Insomnia,width:100%,width:78%,width:75%,width:39%,width:32%,Donegal,Dry Eyes,Dry Mouth,Anxious,Dizzy,Headache,width:100%,width:100%,width:35%,width:18%,width:9%,52,4.1,Hybrid
Relaxed,Happy,Creative,Uplifted,Euphoric,width:100%,width:89%,width:63%,width:61%,width:52%,1. Earthy,2. Diesel,3. Sweet,Dyb,Stress,Pain,Depression,Inflammation,Muscle Spasms,width:100%,width:97%,width:76%,width:55%,width:50%,Donkey Butter,Anxious,Dry Eyes,Dry Mouth,Dizzy,Paranoid,width:100%,width:100%,width:71%,width:10%,width:10%,27,4.7,Indica
Relaxed,Euphoric,Uplifted,Happy,Hungry,width:100%,width:86%,width:85%,width:77%,width:23%,1. Earthy,2. Pine,3. Pungent,Don,Insomnia,Pain,Stress,Depression,Headaches,width:100%,width:70%,width:69%,width:68%,width:64%,Donna OG,Dry Mouth,Dry Eyes,Dizzy,,,width:100%,width:63%,width:9%,,,81,4.6,Hybrid
Relaxed,Tingly,Hungry,Happy,Euphoric,width:100%,width:95%,width:78%,width:34%,width:34%,1. Vanilla,2. Sweet,3. Spicy/Herbal,Doo,Depression,Stress,Fatigue,Inflammation,Lack of Appetite,width:100%,width:100%,width:88%,width:88%,width:88%,Doobiebird Daydream,Dry Eyes,Dry Mouth,Headache,,,width:100%,width:6%,width:6%,,,11,4.7,Hybrid
,,,,,,,,,,,,,Dx,,,,,,,,,,,Doox,,,,,,,,,,,,,Hybrid
Energetic,Uplifted,Happy,Focused,Euphoric,width:100%,width:100%,width:75%,width:50%,width:25%,1. Citrus,2. Lemon,3. Lime,Dx,Depression,Fatigue,Inflammation,Muscle Spasms,Pain,width:100%,width:100%,width:100%,width:100%,width:100%,Doox,Dry Mouth,,,,,width:100%,,,,,5,4.4,Sativa
Euphoric,Uplifted,Relaxed,Happy,Focused,width:100%,width:76%,width:76%,width:69%,width:61%,,,,Dop,Stress,Depression,Pain,Nausea,Headaches,width:100%,width:92%,width:76%,width:46%,width:30%,Dopium,Dry Mouth,Dry Eyes,Headache,Paranoid,Anxious,width:100%,width:62%,width:37%,width:37%,width:12%,23,4.5,Hybrid
Relaxed,Euphoric,Uplifted,Tingly,Focused,width:100%,width:89%,width:78%,width:10%,width:5%,,,,Dor,Inflammation,Pain,Stress,,,width:100%,width:50%,width:50%,,,Dorit,Dry Eyes,,,,,width:100%,,,,,7,4.5,Indica
,,,,,,,,,,,,,Dsf,,,,,,,,,,,Dosi Face,,,,,,,,,,,,,Hybrid
,,,,,,,,,,,,,Dr1,,,,,,,,,,,Dosi-Woah! R1,,,,,,,,,,,,,Hybrid
Relaxed,Euphoric,Focused,Hungry,Creative,width:100%,width:50%,width:50%,width:50%,width:25%,1. Earthy,2. Citrus,,Dbo,Headaches,Pain,Stress,Cramps,Depression,width:100%,width:100%,width:100%,width:50%,width:50%,Double Barrel OG,Dry Mouth,Anxious,Dizzy,Headache,Paranoid,width:100%,width:50%,width:50%,width:50%,width:50%,5,4.2,Hybrid
Happy,Energetic,Uplifted,Creative,Relaxed,width:100%,width:98%,width:86%,width:59%,width:57%,1. Diesel,2. Grapefruit,3. Citrus,Dd,Depression,Stress,Pain,Fatigue,Insomnia,width:100%,width:98%,width:19%,width:14%,width:8%,Double Diesel,Dry Mouth,Dry Eyes,Paranoid,Headache,Dizzy,width:100%,width:76%,width:23%,width:15%,width:7%,38,4.3,Sativa
Uplifted,Relaxed,Happy,Euphoric,Energetic,width:100%,width:94%,width:94%,width:90%,width:85%,1. Sweet,2. Spicy/Herbal,3. Lemon,Ddr,Depression,Stress,Pain,Fatigue,Lack of Appetite,width:100%,width:95%,width:68%,width:47%,width:36%,Double Dream,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Anxious,width:100%,width:26%,width:15%,width:9%,width:4%,334,4.5,Hybrid
Uplifted,Euphoric,Relaxed,Giggly,Hungry,width:100%,width:96%,width:95%,width:93%,width:14%,1. Tar,2. Sweet,3. Pungent,Dbd,Stress,Depression,Insomnia,Fatigue,Nausea,width:100%,width:98%,width:96%,width:3%,width:3%,Double Dutch,Dry Mouth,Dizzy,Headache,,,width:100%,width:3%,width:3%,,,19,4.3,Hybrid
,,,,,,,,,,,,,Dlp,,,,,,,,,,,Double Lemon Pie,,,,,,,,,,,,,Hybrid
Relaxed,Uplifted,Happy,Euphoric,Sleepy,width:100%,width:91%,width:83%,width:75%,width:74%,1. Lemon,2. Mint,3. Citrus,Dbm,Stress,Pain,Fatigue,Headaches,Insomnia,width:100%,width:88%,width:66%,width:66%,width:33%,Double Mint,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,6,4.5,Indica
Euphoric,Relaxed,Sleepy,Giggly,Happy,width:100%,width:68%,width:60%,width:47%,width:43%,1. Earthy,2. Skunk,3. Sweet,Dbg,Fatigue,Pain,Insomnia,Stress,Headaches,width:100%,width:54%,width:43%,width:32%,width:32%,Double OG,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:43%,width:13%,width:9%,width:9%,28,4.7,Indica
Relaxed,Happy,Euphoric,Creative,Hungry,width:100%,width:57%,width:50%,width:50%,width:42%,1. Earthy,2. Grape,3. Pungent,Dpd,Pain,Stress,Muscle Spasms,Insomnia,Headaches,width:100%,width:80%,width:60%,width:50%,width:40%,Double Purple Doja,Dry Mouth,Anxious,,,,width:100%,width:25%,,,,23,4.7,Indica
,,,,,,,,,,,,,Dss,,,,,,,,,,,Double Stuffed Sorbet,,,,,,,,,,,,,Hybrid
Happy,Uplifted,Relaxed,Euphoric,Creative,width:100%,width:84%,width:71%,width:65%,width:55%,1. Sweet,2. Orange,3. Tropical,Dtb,Stress,Pain,Fatigue,Depression,Inflammation,width:100%,width:87%,width:75%,width:70%,width:48%,Double Tangie Banana,Paranoid,Dry Mouth,Dry Eyes,Dizzy,Headache,width:100%,width:99%,width:56%,width:47%,width:3%,109,4.5,Hybrid
Relaxed,Euphoric,Sleepy,Hungry,Happy,width:100%,width:88%,width:88%,width:44%,width:11%,1. Earthy,2. Pine,3. Pungent,Dbt,Depression,Headaches,Inflammation,Insomnia,Lack of Appetite,width:100%,width:100%,width:100%,width:100%,width:100%,Double Tap,,,,,,,,,,,4,5.0,Indica
Energetic,Focused,Uplifted,Euphoric,Creative,width:100%,width:100%,width:97%,width:97%,width:95%,,,,Dva,Inflammation,Fatigue,Stress,Depression,Nausea,width:100%,width:35%,width:29%,width:23%,width:17%,Doug's Varin,,,,,,,,,,,19,4.9,Sativa
,,,,,,,,,,,,,Dol,,,,,,,,,,,Dough Lato,,,,,,,,,,,1,5.0,Hybrid
,,,,,,,,,,,,,Dbu,,,,,,,,,,,Dr. Bubbles,,,,,,,,,,,4,4.8,Hybrid
,,,,,,,,,,,,,Drc,,,,,,,,,,,Dr. Clemenstein,,,,,,,,,,,,,Hybrid
Euphoric,Happy,Relaxed,Tingly,Uplifted,width:100%,width:68%,width:68%,width:50%,width:50%,1. Earthy,2. Woody,3. Nutty,Dfg,Stress,Depression,Cramps,Eye Pressure,Insomnia,width:100%,width:90%,width:10%,width:10%,width:10%,Dr. Feelgood,Dry Mouth,,,,,width:100%,,,,,8,4.3,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Tingly,width:100%,width:78%,width:78%,width:50%,width:50%,1. Berry,2. Blueberry,3. Cheese,Drf,Stress,Insomnia,Pain,Headaches,Depression,width:100%,width:75%,width:62%,width:37%,width:37%,Dr. Funk,Dry Mouth,Dry Eyes,Headache,,,width:100%,width:33%,width:16%,,,41,4.6,Indica
Euphoric,Happy,Hungry,Relaxed,,width:100%,width:100%,width:100%,width:100%,,1. Earthy,2. Pine,3. Pungent,Edg,,,,,,,,,,,Dr. Greenthumb’s Em-Dog,Dry Mouth,,,,,width:100%,,,,,3,5.0,Hybrid
Energetic,Uplifted,Euphoric,Creative,Focused,width:100%,width:82%,width:78%,width:76%,width:61%,,,,Drg,Depression,Stress,Fatigue,Pain,Lack of Appetite,width:100%,width:76%,width:52%,width:52%,width:47%,Dr. Grinspoon,Dry Mouth,Anxious,Dry Eyes,Dizzy,Paranoid,width:100%,width:38%,width:8%,width:5%,width:2%,66,4.8,Sativa
Relaxed,Sleepy,,,,width:100%,width:100%,,,,,,,Drq,Depression,Insomnia,Stress,,,width:100%,width:100%,width:100%,,,Dr. Quantum,Dry Mouth,,,,,width:100%,,,,,1,4.0,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Giggly,width:100%,width:95%,width:77%,width:72%,width:46%,1. Earthy,2. Pungent,3. Grape,Drw,Stress,Pain,Depression,Insomnia,Nausea,width:100%,width:63%,width:59%,width:29%,width:20%,Dr. Who,Dry Mouth,Dry Eyes,Headache,Anxious,Dizzy,width:100%,width:36%,width:13%,width:12%,width:4%,448,4.5,Hybrid
Focused,Happy,Relaxed,Hungry,Sleepy,width:100%,width:75%,width:58%,width:41%,width:41%,1. Pungent,2. Sweet,3. Tropical,Dnf,Insomnia,,,,,width:100%,,,,,Dragon Fruit,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,6,4.5,Hybrid
