Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
,,,,,,,,,,,,,60l,,,,,,,,,,,60 Day Lemon,,,,,,,,,,,1,5.0,Hybrid
,,,,,,,,,,,,,60d,,,,,,,,,,,60 Day Wonder,,,,,,,,,,,,,Hybrid
Relaxed,Euphoric,Happy,Creative,Uplifted,width:100%,width:87%,width:83%,width:65%,width:61%,1. Earthy,2. Sweet,3. Pungent,707,Pain,Stress,Depression,Nausea,Muscle Spasms,width:100%,width:85%,width:68%,width:38%,width:35%,707 Headband,Dry Mouth,Dry Eyes,Anxious,Dizzy,Paranoid,width:100%,width:74%,width:36%,width:24%,width:9%,374,4.4,Hybrid
Happy,Energetic,Focused,Relaxed,Uplifted,width:100%,width:60%,width:60%,width:60%,width:60%,,,,70t,Pain,,,,,width:100%,,,,,707 Truthband,Dry Eyes,,,,,width:100%,,,,,1,4.0,Hybrid
Relaxed,Happy,Uplifted,Euphoric,Hungry,width:100%,width:92%,width:45%,width:41%,width:41%,1. Earthy,2. Spicy/Herbal,3. Pine,8bk,Pain,Depression,Inflammation,Stress,Muscle Spasms,width:100%,width:70%,width:67%,width:43%,width:41%,8 Ball Kush,Dry Mouth,Dry Eyes,Headache,Anxious,Dizzy,width:100%,width:9%,width:4%,width:2%,width:2%,57,4.4,Indica
Happy,Relaxed,Tingly,Euphoric,Sleepy,width:100%,width:76%,width:61%,width:37%,width:37%,1. Earthy,2. Flowery,3. Pungent,818,Insomnia,Pain,Stress,Nausea,Inflammation,width:100%,width:100%,width:95%,width:65%,width:63%,818 OG,Dry Mouth,Dry Eyes,Paranoid,,,width:100%,width:94%,width:5%,,,31,4.7,Indica
Relaxed,Creative,Hungry,Euphoric,Focused,width:100%,width:70%,width:70%,width:58%,width:29%,1. Cheese,2. Flowery,3. Chemical,831,Insomnia,Pain,Stress,Depression,Cramps,width:100%,width:100%,width:100%,width:70%,width:30%,831 OG,Dry Mouth,Dizzy,Headache,,,width:100%,width:70%,width:70%,,,8,5.0,Indica
,,,,,,,,,,,,,840,,,,,,,,,,,840,,,,,,,,,,,,,Hybrid
Relaxed,Sleepy,Euphoric,Happy,Hungry,width:100%,width:83%,width:44%,width:43%,width:31%,1. Earthy,2. Sweet,3. Citrus,9lb,Insomnia,Pain,Stress,Depression,Muscle Spasms,width:100%,width:92%,width:87%,width:63%,width:47%,9 Pound Hammer,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:66%,width:28%,width:21%,width:18%,736,4.5,Indica
Relaxed,Happy,Euphoric,Giggly,Sleepy,width:100%,width:92%,width:92%,width:89%,width:89%,1. Diesel,2. Skunk,3. Earthy,91k,Stress,Depression,Lack of Appetite,Insomnia,Pain,width:100%,width:98%,width:96%,width:94%,width:94%,91 Krypt,Dry Mouth,Dizzy,Dry Eyes,,,width:100%,width:66%,width:33%,,,13,4.8,Indica
,,,,,,,,,,,,,92o,,,,,,,,,,,92 OG,,,,,,,,,,,1,4.0,Hybrid
